card,effect
Soul Drain Dragon,"Cannot be Normal Summoned/Set. Must be Special Summoned by a Dragon-Type Xyz Monster's effect in your possession, and cannot be Special Summoned by other ways. When Special Summoned, if your Life Points are lower than your opponent's: This card gains ATK equal to your current Life Point deficit, and if it does, your opponent takes no further damage this turn. This card cannot attack your opponent directly."
Soul Exchange,"Target 1 monster your opponent controls; this turn, if you Tribute a monster, you must Tribute that monster, as if you controlled it. You cannot conduct your Battle Phase the turn you activate this card."
Soul Hunter,"""Lord of the Lamp"" + ""Invader from Another Dimension"""
Soul Levy,"You can only control 1 ""Soul Levy"". Each time your opponent Special Summons a monster(s), send the top 3 cards of their Deck to the GY."
Soul of Fire,"Your opponent draws 1 card. Select 1 Pyro-Type monster from your Deck and remove it from play. Inflict damage to your opponent equal to half the ATK of the removed monster. If you activate this card, you cannot declare an attack this turn."
Soul of Purity and Light,This card cannot be Normal Summoned or Normal Set. This card can only be Special Summoned by removing from play 2 LIGHT monsters in your Graveyard. All monsters your opponent controls lose 300 ATK during their Battle Phase only.
Soul of Silvermountain,"2 Level 3 EARTH monsters
 Once per turn: You can detach 1 Xyz Material from this card to target 1 Set card in your opponent's Spell & Trap Card Zone; it cannot be activated while this card is face-up on the field. If this card destroys an opponent's monster by battle while it has Xyz Material: You can target 1 EARTH monster in your Graveyard; Special Summon that target in face-up Defense Position."
Soul of the Pure,Increase your Life Points by 800 points.
Soul Pendulum,"You can target 2 cards in your Pendulum Zones; increase or reduce the Pendulum Scale of each targeted card by 1 (min. 1). You can only use this effect of ""Soul Pendulum"" once per turn. Each time a Pendulum Monster(s) in your possession is Pendulum Summoned, place 1 counter on this card. All Pendulum Monsters on the field gain 300 ATK for each counter on this card. You can remove 3 counters from this card; you can conduct 1 Pendulum Summon during your Main Phase this turn, in addition to your Pendulum Summon. (You can only gain this effect once per turn.)"
Soul Release,Target up to 5 cards in any Graveyard(s); banish them.
Soul Resurrection,"Activate this card by targeting 1 Normal Monster in your Graveyard; Special Summon it in Defense Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card."
Soul Reversal,Return 1 Flip Effect Monster from your Graveyard to the top of your Deck.
Soul Rope,When a monster you control is destroyed by a card effect and sent to the Graveyard (except during the Damage Step): Pay 1000 LP; Special Summon 1 Level 4 monster from your Deck.
Soul Strike,"If your LP is 4000 or less, when an attack is declared involving a monster you control and an opponent's monster: Pay half your LP, then target 1 face-up monster you control; it gains ATK equal to the deficit between your current LP and 4000 until the end of your opponent's turn. You can only activate 1 ""Soul Strike"" per turn."
Soul Taker,"Target 1 face-up monster your opponent controls; destroy that target, then your opponent gains 1000 LP."
Soul Tiger,The soul of a tiger that is said to devour human souls. He is a famous soul that you wouldn't want to run into in a dark alley.
Soul Token,"Special Summoned with the effect of ""Limit Impulse"". This Token cannot be Tributed, except for a Tribute Summon."
Soul Transition,"If you control no Special Summoned monsters: Tribute 1 face-up Level 4 Normal Summoned/Set monster; draw 2 cards. You can only activate 1 ""Soul Transition"" per turn. You cannot Special Summon monsters the turn you activate this card."
Soul Unseal,"If your opponent controls a monster and you control a Normal Monster: Choose 5 Normal Monsters in your Deck, add 1 of them to your hand and banish the rest. "
Soul-Absorbing Bone Tower,"If you control another Zombie-Type monster, your opponent cannot target this card for attacks. Each time a Zombie-Type monster(s) is Special Summoned: Send the top 2 cards of your opponent's Deck to the Graveyard."
Souleater,A living wonder of mystery.
Souleating Oviraptor,"If this card is Normal or Special Summoned: You can take 1 Dinosaur-Type monster from your Deck, and either add it to your hand or send it to the Graveyard. You can target 1 other Level 4 or lower Dinosaur-Type monster on the field; destroy it, then Special Summon 1 Dinosaur-Type monster from your Graveyard in Defense Position. You can only use each effect of ""Souleating Oviraptor"" once per turn."
Souls of the Forgotten,A wicked spirit created by the hateful souls of those who fell in battle. It grows by assimilating the souls of its enemies.
Sound the Retreat!,Return all monsters you control to the hand.
Soundproofed,"This card can only be activated at the start of Main Phase 1, and only if you control no face-up Synchro Monsters. Neither player can Special Summon a Synchro Monster until your opponent's next End Phase."
Space Cyclone,Detach 1 Xyz Material from a monster.
Space Dragster,"Special Summon this card as an Effect Monster (Machine-Type/Tuner/FIRE/Level 1/ATK 0/DEF 1800). (This card is also still a Trap Card.) If Summoned this way, other Tuners you control cannot be destroyed by battle or your opponent's card effects while this card is in the Monster Zone."
Space Gift,"Draw 1 card for each different ""Neo-Spacian"" name on the monsters you control."
Space Insulator,"2 monsters
Monsters this card points to lose 800 ATK/DEF. When a Cyberse Link Monster is Link Summoned to your field, while this card is in the GY, except the turn this card was sent to the GY: You can Special Summon this card to your zone that monster points to, but it cannot be used as Link Material, also banish it when it leaves the field."
Space Mambo,A Space Mambo floating in the vast universe. This living relic was found in the ruins of a super civilization on Alphard 4.
Space-Time Police,When this card is Special Summoned: Target 1 face-up card your opponent controls; banish that target. When this card leaves the field: Set the card that was banished by this effect to your opponent's side of the field.
Spacegate,"Each time a monster your opponent controls attacks or is attacked, place 1 Gate Counter on this card at the end of the Damage Step. During your Main Phase: You can send this card to the Graveyard; Special Summon 1 monster from your hand whose Level is less than or equal to the number of Gate Counters on this card."
Spacetime Transcendence,"Banish 2 or more Dinosaur monsters from your GY; Special Summon 1 Dinosaur monster from your hand or GY whose Level equals the total Levels of those banished monsters, but it cannot attack this turn."
Spark Blaster,"Equip only to ""Elemental HERO Sparkman"". During your Main Phase: You can target 1 face-up monster; change the battle position of that target. After you use this effect 3 times, destroy this card."
Sparks,Inflict 200 points of damage to your opponent's Life Points.
Spatial Collapse,"You can only activate this card when both you and your opponent each have 5 or less cards on the field. As long as this card remains face-up on the field, the total number of cards that each player can have on the field is 5."
Spawn Alligator,During the End Phase of the turn this card was Tribute Summoned by Tributing a Reptile-Type monster: Target 1 monster that was used for the Tribute Summon of this card; Special Summon it from the Graveyard.
Spear Cretin,"FLIP: When this card is sent to the Graveyard after being flipped, each player selects 1 monster from their Graveyard, and Special Summons it in face-up Attack Position or face-down Defense Position."
Spear Dragon,"During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. If this card attacks, it is changed to Defense Position at the end of the Damage Step."
